# LAMMPS data file written by OVITO Pro 3.12.1

15040 atoms
4 atom types

-30.0675 33.2325 xlo xhi
-30.0675 33.2325 ylo yhi
-30.0675 33.2325 zlo zhi

Masses

1 183.84  # W
2 1.0  # Type 2
3 1.0  # Type 3
4 1.0  # Type 4

Atoms  # atomic

1 4 -30.0675 -30.0675 -30.0675
2 1 -28.485 -28.485 -28.485
3 4 -30.0675 -30.0675 -26.9025
4 4 -28.485 -28.485 -25.32
5 3 -30.0675 -30.0675 -23.7375
6 4 -28.485 -28.485 -22.155
7 4 -30.0675 -30.0675 -20.5725
8 2 -30.0675 -30.0675 -17.4075
9 2 -28.485 -28.485 -15.825
10 2 -30.0675 -30.0675 -14.2425
11 2 -28.485 -28.485 -12.66
12 2 -28.485 -28.485 -9.495
13 2 -30.0675 -30.0675 -7.9125
14 2 -28.485 -28.485 -6.33
15 2 -30.0675 -30.0675 -1.5825
16 2 -28.485 -28.485 0.0
17 1 -30.0675 -30.0675 1.5825
18 4 -28.485 -28.485 3.165
19 1 -30.0675 -30.0675 4.7475
20 3 -28.485 -28.485 6.33
21 4 -30.0675 -30.0675 7.9125
22 1 -28.485 -28.485 9.495
23 3 -30.0675 -30.0675 11.0775
24 3 -28.485 -28.485 12.66
25 2 -30.0675 -30.0675 14.2425
26 1 -28.485 -28.485 15.825
27 2 -30.0675 -30.0675 17.4075
28 2 -28.485 -28.485 18.99
29 4 -30.0675 -30.0675 20.5725
30 3 -28.485 -28.485 22.155
31 1 -30.0675 -30.0675 23.7375
32 2 -28.485 -28.485 25.32
33 1 -28.485 -28.485 28.485
34 1 -30.0675 -30.0675 30.0675
35 4 -28.485 -28.485 31.65
36 2 -30.0675 -26.9025 -30.0675
37 4 -28.485 -25.32 -28.485
38 3 -30.0675 -26.9025 -26.9025
39 4 -28.485 -25.32 -25.32
40 3 -30.0675 -26.9025 -23.7375
41 1 -28.485 -25.32 -22.155
42 2 -28.485 -25.32 -18.99
43 3 -30.0675 -26.9025 -17.4075
44 4 -28.485 -25.32 -15.825
45 4 -30.0675 -26.9025 -14.2425
46 2 -28.485 -25.32 -12.66
47 3 -30.0675 -26.9025 -11.0775
48 1 -30.0675 -26.9025 -7.9125
49 1 -28.485 -25.32 -6.33
50 2 -30.0675 -26.9025 -4.7475
51 3 -28.485 -25.32 -3.165
52 4 -30.0675 -26.9025 -1.5825
53 4 -28.485 -25.32 0.0
54 4 -30.0675 -26.9025 1.5825
55 3 -28.485 -25.32 3.165
56 2 -30.0675 -26.9025 4.7475
57 2 -28.485 -25.32 6.33
58 2 -30.0675 -26.9025 7.9125
59 3 -28.485 -25.32 9.495
60 2 -30.0675 -26.9025 11.0775
61 4 -28.485 -25.32 12.66
62 1 -30.0675 -26.9025 14.2425
63 2 -28.485 -25.32 15.825
64 4 -30.0675 -26.9025 17.4075
65 2 -28.485 -25.32 18.99
66 4 -30.0675 -26.9025 20.5725
67 2 -28.485 -25.32 22.155
68 2 -30.0675 -26.9025 23.7375
